Artist,Song,Lyrics,Class
Of Mice & Men,You Make Me Sick,sit think time try steal ride coat tail use smile expose fang forked tongue run spill mouth suggest bind  sick away expose fang tongue poison serpent snake apple mouth come rich eat fill hope choke like snake foot head want dead need alive feel moment crush disgust feed weak nauseous wretched false power go mad unhinged disgusting gruesome grim feel exactly serpent lie snake ,hate
​​blink-182,Shut Up,shut fuck say go fuck deaf loud loud friend leave place fuck dead wanna shit got to stop run away fuck say life meaningless go go fuck say live instead say care know care ask permission fuck listen come home go come home get fuck pass plane try forget forget sleep flight think night  run away think time leave think time leave run away think time leave run away think time leave,hate
Five Finger Death Punch,100 Ways to Hate,hate goddamn motherfuckin shitty ass band hate way get hold hand hate way pussy talk shit hide web fact think know make fuck head hate nail hate hair hate fact care hate way say love fuckin hate friend hate folk stupid fuckin hate way try change thing joke hate understatement hate hate stand care anymore give chance give way hate hate face hate lie hate blank look eye hate need hate want hate way love taunt hate voice make cringe time hear speak uncomfortable know share air hate lack common sense tired compromise good look end 'cause horizon wrong lot shit know true fuckin thing hate hate way way hate give chance way way,hate
Halsey,I HATE EVERYBODY,big enemy empathy disaster like scaly thing wrap tightly round master friend gettin bored fall love stranger know think reality remember thinkin force future like hate everybody home somebody fall love anybody want hate everybody maybe maybe know get tendency exaggerate seein know unfair memory feelin 'cause notice single thing happen moment know honestly know infatuation observation cause love waitin hate everybody love maybe love love hate everybody everybody maybe maybe,hate
Doobie,Hate Song,doobie stand feel like right pull blade right cut open lick knife drive crazy like love way fuckin hate hate ooh turn feel feel painkiller help pain killin hate real hate care long ah  ooh stand feel like right pull blade right cut open lick knife fuckin love way hate girl ah love song hate life cry song be got to sing be got to sing tear eye speak word mind think hide cut open feel want heartbreak want heal lose wanna find lend hand kick ground tear heart want lose cool stand feel like right love way fuckin hate hate ooh long ooh ,hate
Duncan Laurence,Love Don’t Hate It,ready ready heart drop way deny deny feel kiss slowly take thought sleep  look damn right wrong let complicate love hate pull start fall let little lost try know lie head chest wish like night got to stress close eye close eye feel good arm think right belong try know    try know try,hate
GAYLE,​abcdefu,fuck mom sister job broke ass car shit art fuck friend everybody dog fuck swear mean mean good end try bite tongue start shit textin friend ask question like place date girl hate attention day connection like anythin affection bad way  tryna nice get spell b c d e f mom sister job  say need space give  tell bitch   get let spell craigslist couch way voice sound b c d e f f everybody dog fuck,hate
Simon Curtis,I Hate U,wanna love wanna touch fuck wanna come door try touch love baby hate hate hate hate hate hate uh uh betray play slay hurt like hurt disown people decide want life bed lie wake fucking bitch hate hate hate hate hate hate wake fucking bitch wake touch hate wake fucking,hate
Cheat Codes,Hate You + Love You,catch new love state mind break soul night space lie lie tear way freedom loyalty  push pull indecisive let wrong right tension high like remind hate love time hurt good know mind want fight hate love rest life hey wanna scream go lookin let sleeve hate love rest life life like definition bittersweet poison remedy addiction wanna hurt good know mind know mind hate love rest life hate love hate love ooh hate love time time hurt good know mind know mind hate love rest life hate love woah go lookin lookin hate love rest,hate
Taylor Swift,Bad Blood,'cause baby get bad blood know mad love look 'cause baby get bad blood hey get problem think solve 'em deep cut baby get bad blood hey  think trust ruin shiny rusted hit weak baby breathe rub deep salt wound like laugh right sad think good time  think fine get scar knife think past kind wound think thing catch time heal will come way  band aid fix bullet hole sorry live like live ghost love like blood run cold think solve 'em think solve 'em look look baby get bad blood,hate
Ugly Kid Joe,Everything About You,guy beach hate sort hip music understand hate rain sunny weather hate beach mountain boo hoo like thing city hate countryside hate  like thing mother hate daddy gut boo hoo like thing sister cause think sex overrate sick stand hate get bad attitude change way feel think bring look cause be wear frown care sister forget little bitch cause kiss thing lady bed maybe know know everybody know way come way going to think sad bad cause ball hatin little thing ha ha  sick hate abou u u ut  ,hate
Radiohead,Creep, look eye like angel skin make cry float like feather beautiful world wish special fuckin special creep weirdo hell belong care hurt wanna control want perfect body want perfect soul want notice   run door run run run run run run make happy want belong,hate
Eminem,Kim,aw look daddy baby girl daddy baby little sleepy head yesterday change diaper wipe powder big believe baby precious daddy proud sit bitch beat shit okay wake baby need quit cry bitch shout leave love blue matter loud bad bitch going to finally hear time like aight wanna throw fine place mind couch tv house let sleep bed look look husband say look be hot little punk shut fuck drunk going to away think fuck go ride bitch sit leave wake right trunk long bitch wrong wanna live world fuck number know cheat come haunt kid year ago think wipe slate clean fuck love brain love change station hate song look like big joke old little boy lay dead slit throat living room ha ha think kiddin love bullshit bitch fucking lie fuck guy problem fuck asshole bite like think ugly think ugly baby fuck away touch hate hate swear hate god love fuck sorry fuck come scared,hate
Plain White T’s,Hate (I Really Don’t Like You),love love love love love woo want girl leave brokenhearted mean thing want hate strong word like  know like bring bring like think perfect suppose think think worth think little differently hurt bring  hate strong word like like like like,hate
Against Me!,Black Me Out,want talk way want know people like anymore obligation owe black want piss wall house want chop brass ring fat fucking finger king maker  want world way anymore want feel weak insecure fucking pimp fucking whore young grave fill good burn bright fast body high come black,hate
Nessa Barrett,​i hope ur miserable until ur dead,hear voice tryna rip world piece toy break leave bleed damage move ready drag mud come petty fuck petty fuck hope fall love hope lose friend hope shit say hope miserable dead hope miserable fucking miserable miserable miserable dead keep shit say loud burn everybody hate hate will 'cause will know know day come fuck hope lose friend lose friend hope shit say say damage move ready hope haunt regret hope fuck inside head know forgive forget hope miserable,hate
The Goo Goo Dolls,Hate This Place,go away know lie wish away doubt  poison confusion face feel mean   think love be say know hold dream away sweet charade time  lie fall away know lose hide bed think wrong go head hey come day certain be mess life  tell lie know need hold dream,hate
Lady A,Worship What I Hate,look mirror hopin change wish brand new body blame seein flaw like failure usin cure like savior like tryna build church hurt need grace give time focus becomin fear take space eye look away realize worship hate half bottle red bed way dream wake thing touch button screen guilty stickin guilty keep head miss  'cause give time focus becomin lie feel like truth thing fight hard heart 'cause give time realize realize realize worship hate ooh ooh ooh realize ooh ooh ooh realize know ooh ooh ooh ooh ooh mmm ooh ooh ooh ooh ooh ooh ooh ooh,hate
Tory Lanez,Hate To Say,find funny start money livin lovely apartment far remember livin far junkie try punk corner sink swear bitch killin year boy hate gon feel year buy rari drive movin different year leavin thousand talkin million year talkin talkin talk renegotiate play cough cross like drop shoulder feelin sport winnin fuck feelin feeling got leave aside tell step aside orderin extra side know round block glover spittin hot flow scent smell like clothe presidential flow evidential custom barely credential need tint want know offend time walk let break 'em account hunnid mean hunnid minute stage equal hunnid k minute offend walk inside store spend 'cause minute land sip guinness wanna witness nigga sick shiznit bring big poppy watch stage triple advance give year minute stage amazed think table turnin think learn bridge burn burnin think learn world turnin go server platinum deserver feel song call shit city love chinchilla fur case get chilly burner pocket case illy fight agree shortly music possibly big tryna ruin apology nigga forgive history call truce tower bring couple niggas beef finish soon take picture world attention industry start shiftin forgive 'em forgive 'em trippin time spit subliminal dissin tryna rip shit,hate
Penetration,Don’t Dictate,listen thing say remove answer will suffer consequence tear right wrong answer tell choice take chance dictate dictate 2x repeat,hate
Passenger,I Hate,hate racist bloke tell tasteless joke explain people belong hate ignorant folk pay money gig talk fucking song hate people night club snort coke explain go wrong agree come hate feel free sing go   wonderful love hate pointless status update fyi pretend friend internet real life brother love mother good time music mate laugh live love hate hate fussy eater cook fajita eat pizza chip hate step outside smoke guy cough like lung hate queue festival toilet especially need shit hate x factor murder music bunch money grab prick hate magazine aim insecure teen year old race grow hey kid let anorexic well eat chocolate throw hollywood star stupid car make look fuck grow old grace see cher face look like hit truck ,hate
Danko Jones,Baby Hates Me,sticky kind cast stone let sleep dog lie sing mountain  scream lung pop stand til drop feeling leave go decieve stop coffin 'cause absolutely common baby know hate shake rock solid hot bother matter shake special bored time think shy want baby want know hate time start move crave amaze change baby long time comin way got to know thing thing will fight dotted line  baby know hate time stop move shake matter shake,hate
Brand New,Seventy Times 7,school teach need know like deal despair break heart year hold night like beg pull apart play quiet leave deep conversation feel uncool hang kitchen remember keep think know know want kill like good friend catch  happen get write song remind bad suck ignore sun cover head write message pillow say stay asleep bed apologize hope choke die search cell hang need pray want tell life go hell catch catch catch let let let let getaway tell get away 'cause see spine jellyfish see gut year old kid drink drive home hope ice road think forget seatbelt head go windshield tact subtle brick small let end end conversation getaway tell get away cause leave fray tie sever good friend mean friend forever getaway catch catch let,hate
Disturbed,Who Taught You How to Hate,hear voice echo angered eye know look kill kill unknown enemy surround wicked laughter resonate inside head fill dread adrenaline deserve different deserve die reason go blur let instinct flight find hand throat hear tell teach hate 'cause blood  let understand somebody teach hate live way dead father pride son walk look marvel child play perfect disarray innocent judgement pure exhilaration black white color mind predefine different plant evil seed preach fear pull world lie unsure lose sight lose sight cure way   lose innocence infected arrogant burn life tell deliverance consume pestilence hate deny deep heart remain think bring life soul save deviant unholy revenant way fall hate blood ,hate
The Persuaders,Thin Line Between Love and Hate,thin line love hate 2x o'clock morning get knock door voice sweet low say open door let  say hungry hungry honey eat let hang coat woman tell pass hat time smile raise voice thought thin line love hate think breakin woman heart sit enjoy gon fool day sweet woman world mean woman world way hurt keep quiet hold inside hurt day lay hospital bandage foot head state shock dead think woman like think nerve guess action speak louder word think treatin woman bad will mad going to fool day smilin face be happy,hate
Shofu,Pokemon Cypher 2016, ask you man blame house burn bitch  oak hit critical energy focus woo gon need potion uh huh bar straight corrosion blowin hate catch explosion king n throne ill flow ride round city catch hoe like pokémon woo know shofu know hot girlfriend see lure come like damn get match lose come badge drop uh huh soft roast nigga til look like flareon woo bag top level candy shop talkin shit come go like ash pop goddamn pocket heavy bitch ballin like wall draw weapon like smeargle woo welcome art rattata lookin queen right get be hot nah prodigy uh huh hard body strong arm d damn way nigga be stoppin incense shirt crazy bitch flock woo flow shocking like rotom tv encore verse 'cause gon leave shit repeat head gon need future sight team strong wanna cp boy pokémon cypher feel shit motherfuckin liar bar hit heavy leave lookin like psyduck wrist sayin time lose choose sun moon bitch interview playing game throw flame booth boost hit baton pass 'em scoot truth spin villain suit flow surf boy going to need inner tube know great run shit hold b get tennis shoe come like u turn bite nigga style mothafuckin tooth hurt hand like wooper way nigga dazzling leave unaffected wanna shoot,hate
Kodak Black,Hate Being Alone,like time shit like shit like right wanna wanna time shit like day day  beam wanna day bae ooh ooh wanna day wanna leave time cage time cell wanna away let ourself wanna finally find wanna thug come sweet goal wanna reach leave know breathe wanna sound territorial need corner hold ya  girl want chest like flu be get know girl head thinkin wanna bed sleep baby be med 'cause need foot game foot breakin rule chase bread chase loot chasin destiny child cater fuck holiday day day care dog seater coupe fit people 'cause seater ridin heater got to tuck envious know stuff got to hammer tuck 'cause dog jealous ourself   fuck want chest like swine flu girl tie know sayin know mean know talkin ,hate
Plush,Hate,wound open world unclean dirty unworthy turning fire burning hate hurt l'il hate happy think hate want miss smile hate hate hang eye distort lie speak scream feel unreal dirty  breathing healing mean alive inside heart beat mean wanna die slow hate hate hang,hate
Limp Bizkit,Just Drop Dead,say hangin cute girlfriend kinda wake say see chillin young little fuck kinda dazed maybe confused expect terrible news kissin fool dissin well listen fuck fuck think bitch cause alarm shit beggin stay run fuckin mouth day be punk ass drunk ass sure fine cross fuckin line lesson learnin pullin pantie leave ass burnin cause deserve deserve act like whore drop dead drop dead rewind start get give heart mistake go time break give ass rise say sorry believe like chump have fun feel lonely homey be bitch boy blow fine cross fuckin line love lust blood gut touch crutch trust way trust way get lot nerve think fuckin tennis match bitch time serv m ready hoe love fuck going to huh fuck going to huh fuck going to fuck think bitch cause alarm shit beggin stay drop,hate
Anthrax,1000 Points of Hate,hate hate look breathe hate funny vibe hard miss ignorance call bliss fucking wash hand mind clear hate fear good look friend jealousy know hurt make hate try break free know hurt make  walk life deaf dumb blind call find unkind believe come mark dismiss going to let drive insanity going to hate explode hate start explode deal hate inside cause pain inside turn rage inside make feel like death inside know hurt know hurt  ,hate
Green Day,Platypus (I Hate You),rise fall wall go come haunt time quit 'cause be worth shit shoe piss ground love know pretend enjoy care 'cause lie tell thing wanna hear 'cause hate hear sick suck cancer stick throbbing tumor radiation high shit luck time bring pleasure know go die dickhead fuckface cock smoking motherfucke dirty twat waste semen hope die hey red eye code like strangle watch eye bulge right skull headfirst ground stand piss grave 'cause hate,hate
Pride & Glory,Hate Your Guts, guy ready  okay comin right let cook  get know feel leave dead lose friend live child know far concerned think ya suck rotten blow hate gut wish dead damn right say wish dead dig hole run ya truck instead ass wipe believe cause shit twice funny work end ya think bend ya fuck ya hate gut wishin dead hatin gut wishin dead going to dig hole start engine  way going to ya get problem ya little bastard ya come round  day rip nut shove 'em throat head merry way money hungry greedy child downright wrong ya piss time write song get problem darlin know sure get child damn,hate
Godsmack,Cryin’ Like a Bitch,strut like king tell everybody know long live think time be anymore tell chance tell time cryin like bitch tough nail promise step outta line bitch slap run little mouth day hand smack yesterday wonder stand deny cryin like bitch blind sacred fade past time time enemy grant chance prove arrogance strong strong cryin like bitch ,hate
Cher,I Hate to Sleep Alone,good love bad guess know leave find somebody new will change love leave know hate sleep remember  know hate sleep someday way somebody new feel way wish come home know hate sleep know hate sleep,hate
Public Enemy,You’re Gonna get Yours,man get dust boy corner subject sucker object hate think great son gun wavin fist 'em mad like gun run know come 'cause quick speedin lane jealous causin pain catch smoke choke look spoke know joke window middle finger jealous ride stereo sucker get nerve gall talk car tall sucker know hate going to pullin away day dust know pay mile ego trip tip watch burn rubber fall flame episode comp come like blind leave fast cop try shoot theirs try let turbo run 'em river 'cause movin slow laugh hard attempt judge charge contempt rub boomerang 'cause feelin proud hear 'em 'cause radio loud going to boulevard treat like superstar know time look hard ultimate homeboy car sucker ride comin tough chase tail well watch face smoke comin burn rubber wheel turn tinted window super bad like car green hornet reason ahead pack reason leave,hate
Lacuna Coil,You Love Me ’Cause I Hate You,house sit crimson couch feel uncomfortable comfortable room cold tape mouth slow breath rope tight tension tangible tangible unbearable unbearable love 'cause hate hate love sorry cross line know lose mind obsess love hard think sorry raise voice mean hurt choice lie lie 'cause smart think smart think run away guilt shame cross line end afraid  end love 'cause hate love 'cause hate embe,hate
​The Wildhearts,Hate The World Day,wake bad sleep sleep wake black world cover cloud sea get lotta smile get lotta smile like get tap sit cry well half bottle leave right lean lean lean chorus pain pain hey hey hey get day hey hey hey hey hey find way today hate world day hey hey hey hey hey positive hey hey hey hey hey today hate world day hate world day light bright wanna style time wanna open eye til negativity die be use world outside world outside gay bit shy fear play generation susse hold head hear stay stay maybe wussy hey hey hey hey hey dark hey hey hey hey hey count today hate world day hey hey hey hey hey hey hey hey hey hey stay calm today hate world day hate world day near adhere appear want mood blame tomorrow fall love brief riff ah ah ah woh woh wake bad wear style time wanna open eye sit cry well day lean lean lean pain hey hey hey hey get day hey hey hey hey hey positive hey hey hey hey hey today hate world today hate world today hate world day today hate world day hey hate world day today hate world day ,hate
Toto,High Price Of Hate,gaze meaningless throne pain sell die doctor find priest 'cause save will peace feel displeasure girl relate hand anger crush weight high price hate little girl cost fate lay wide open like surgical knife watch leave miserable life live deception pleasure long dead soul leave bleed lie spread pull collar will rise debate ask comfort lifetime late storm overhead end baby inside head going to end hope be ask late high price,hate
Ice-T,Don’t Hate the Playa,man sit chill bunch player listen deadly sin thing nigga ice t fake funk ice t baby go hater actin like brother wrong cause get game tight hate player hate game sharpen aim baller street search fortune fame come twist mega cheddar get high risk illy cock choose bust smack punk ass silly buy crib cost point swimming pool livin room guess willy high split phillie nigga going to kill hit pull willy straight lace pimpin know hoe feel come club petrol let blast cub echo wannna test vet crew death row real quick trigger nice steel step kill zone cap peel whack look record deal bow thought punk bitch kneel hate cause game tight girl fine jewel shine bright look dead face act like wanna hate motherfucking gut lick nut deal level playing field game hustling war roll dice risk motherfucking life bank roll low hoe go ridin roll week clap nigga speak tryin bleedin lane crystal crack cocaine get nigga tryin figure good route get cop rear view shoot bitch meet fuck nigga crib lie start dump pump kill ass g hate game motherfucker hate sell well rap like acropolis sucker step be stoppin whack magazine try try toppen get lexus gator shopping list,hate
Noam Chomsky,A Modest Proposal,history show easy unscrupulous leader terrify public natural method divert attention fact tax cut rich device undermine prospect decent life middle class poor future generation report literally dust settle world trade center ruin influential republican signal determined use terrorism excuse pursue radical right wing agenda document pursue agenda relentlessly strategy prove highly effective congressional election presidential campaign begin republican strategist surely want people ask question pension job health care matter praise heroic leader rescue imminent destruction foe colossal power march confront powerful force bent destruction idea particularly natural recycled hold influential position current administration replay familiar script drive country deficit able undermine social program declare war terror conjure devil frighten population obedience libyan hit man prowl assassinate brave cowboy surround tank day march pursue plan conquer hemisphere follow script arab terrorist seek kill plan expel world cowboy wail hispanic narcotrafficker seek destroy youth stop time kidnap operation cause try crime commit payroll generally terrorist atrocity provide opportunity pretext implement long stand plan control immense oil wealth central component resource state department describe stupendous source strategic power great material prize world history refer specifically intent general intelligence predict great significance year ahead issue access intelligence analysis anticipate rely secure supply true move quickly gain control resource use major producer decade generally lead exporter matter control material prize funnel enormous wealth way stupendous source strategic power translate lever unilateral world domination different interpretation administration believe exactly say suddenly threat existence neighbor ensure weapon mass destruction mean produce utterly destroy monster eliminate quickly war optimally wage winter winter late mushroom cloud national security adviser rice predict consume let assume interpretation correct regional power fear apparently reveal limited grasp reality accident winter presidential campaign underway doubt aside achieve announce goal plan discuss simple ignore regard insane judgment correct instructive ask modest proposal encourage invade provide necessary logistic military support safe distance missile bomb basis etc proposal advantage consider overthrow fact tear shred close trace eliminate successor regime mean produce great boon disarmament generally far strong motivation achieve end circle american casualty israeli casualty scud attack deter liberation prime enemy true die hardly concern circle note recycle strongly support attack oblivious enormous human cost subsequent sanction regime likely use chemical weapon hardly concern current leadership firmly back beast chemical weapon year gas people kurd people sense cherokee people current planner continue support beast commit far bad crime provide mean develop nuclear biological right invasion fulfil duty support exporter explain assistant secretary state responsibility early join happily effectively authorize slaughter interest stability soberly explain withdraw support attack great international domestic pressure surely human cost concern cold war relevance join good guy support war determinative factor demonstrate continue support war end problem unnecessary explain world relevant follow order word high administration official authorize use military force need security council want stay relevant similar authority object liberation use veto allow proceed surely far well credential task unlike administration record support murderous program primary victim iraqi attack back object correctly trust iranian leadership surely true continue aid bad crime furthermore spare embarrassment profess blind faith leader manner justly ridicule totalitarian state need tacit appeal miraculous religious conversion trace evidence minimal decency concede past crime descend advocate invasion leadership special responsibility compensate past crime regret argument intriguing consequence generalize liberation greet enthusiasm population far american invade people cheer street join iranian journalist hail nobility cause liberator institute democracy credential bad look history quickly reveal contribution democracy region know iranian reformer advantage pursue task majority population shi'ite few problem grant successor government seek real autonomy likely spark turkish invasion light decisive contribution massive turkish atrocity 1990s bad grisly decade argument role regard weak mildly problem gain access iraqi oil company easily exploit iranian energy resource right permit proceeding proposal offer advantage actually discuss fly ointment basic problem able use stupendous source strategic power lever world domination share great material prize leadership prefer classic modern strategy endanger right wing oligarchy foil domestic problem administration remain unresolved population free fear pay attention finally plan unilateral world domination suffer blow correctly note radical nationalist close link israeli ultra nationalist 1990s write position paper extremist right usually reliable press report connection plan time include far reach plan reconstruct line resemble ottoman empire offshore military base charge cooperate egyptian press describe axis evil accord report plan monarchy extend part transfer war underway good israeli air base report fly iranian border basis plan partition develop pursue accord specialist source suggest radical nationalist similar plan extend far decade mixture terrorism unbearable social political environmental cost economic domination pay present order world world regard menace true highly regard strategic analyst middle east specialist like hardline come sane sector accord lead diplomatic correspondent warn clear commitment involve commitment silly armchair strategist vocally irresponsible hardliner refer obliquely perle close power center return meeting high level figure respected strategic analyst comment talk revolutionary group totally different approach arab threat come summarize approach sentence think arab world retard understand language force understatement recent reaction minor disobedience reveal modest proposal iranian liberation insane merit far reasonable plan actually implement accurate reasonable profess goal relation real one actual motive alternative review outset great deal,hate
Billy Crystal,I Hate When That Happens,care night bachelor world talk think marry secretary suit  love want like style love make willy stallion got to run run free know know love understand wide world wide world pack young girl young sweaty bend backwards guide missile love know confused brain twist go street hot dog think okay right watch willy garbage truck swerve splatter pavement crush painful hate happen know mean want talk pain day workshop know uh huh take linoleum knife  spread toe apart start saw forth forth take little bottle uh tabasco sauce sprinkle toe talk hot foot sound painful hate know mean like day grab um meat thermometer shove ear know far go inch take um ball peen hammer right give extra whack know boy painful   ouch hate happen tell ouch hate know mean like day bathroom smell drain sink pull pant dainty grab uh double edge disposable razor start shave hiney know let tell got nick pretty good minute run uh foyer squat bowl talk sting fest know mean pal kitchen know eat anchovy cruller take um self guide movie projector know slot film feed tongue know far switch machine tongue start go machine wild thread go get jam tongue rest um red hot projector bulb right start smell smoke like cook batch uh,hate
Shania Twain,Hate To Love,midnight sky shine face feel wave embrace find peace mind time tide wait wait hate love try find reality dream hate love afraid need like hate love hate love fade photograph picture perfect love lock inside frame forgiving truth trust betray time heal leave leave loneliness innocence invade heart learn hate truth love tear apart ,hate
Lita Ford,Love 2 Hate U,build mansion give girl want buy tattoo send flower flower give heart desire little know sacrifice doubt live think work love hate u buy leather black leather buy girl want buy guitar give love real loving seat night buy real car miss heart soul emptiness inside matter matter love hate u ,hate
Thievery Corporation,Marching the Hate Machines (Into the Sun),make clear enemy   superior let start going to bad going to wrong going to feel good march hate machine sun let start march hate machine,hate
Tenille Arts,I Hate This,hate run try touch hate act like kill watch give look good wrist think time end little experiment 'cause know say friend lie pretend boy try line love hate hate missin hope missin hate hope hope awake ring take break figure want want want need night sleep mmm hate heart breakin time space suck hate time space swear hate know say friend run try touch mmm hate act like kill,hate
K. Michelle,Hate On Her,smile home heart beat want give house tear moment stroke let call phone roll eye like wrong tryna play role hate cause know get heart hate cause know low feel right know wrong hate moment erase memory replace look face year ruin day girl know grow boy grow  call phone time let know go man love cold give take hope need cause take,hate
The Specials,Little Bitch,hear noise night body start sweat shake shiver fright sleep mother hate gut know love hold tight night broad daylight come home sleep wet bed think sad girl sad obscene  girlfriend sweet little get layer hair flared jean know mean little queen share flat think stink rain wear hat plum colour pvc look maxi tie ginger hair bun ugly creature sun  think time die agree decide suicide try carry want die order think going to bleed wrong normally thing want kitsch thing want rich little pink pointed nose begin twitch know know little bitch ,hate
Billy Squier,"If You Would Hate Me Less, I’d Love You More",daydream thinkin go lose way read like tragedy memory lose begin know take long time dagger wound deeply hurt soothe cheaply hate love sister mercy come hand long way home cryin love mystery silent scream loneliness will know suspicion rule unending doubt trust use pretending hate love fear enemy hurt anger toll leave mark mark immune feeling consciousness blockin door tell anxious condemn judge serve want defend hate love angry ask wanna hang hate love,hate
Sasha Alex Sloan,Someone You Hate,tell mama care load car drive dark billboard sign skyline paint blue home feel grow grow apart know break heart go see go hold hold lonely call call throw away go love hate summer night feel kinda strange sleep know hate know talk talk forever know think think end people change guess true ,hate
2Baba,I Hate What You Do To Me,tell fight day love night arrange place scatter time look perfect picture angel minute demon come start wonder baby eh hate tell tell stay hate hate ah ah ah ah eh like smoking gun 'cause time argue yes hate love choose time come tension miss peace damn wanna share wonder way tell know 'cause love expect know man girl understand understand say hate tell tell stay ah,hate
Suicidal Tendencies,I’ll Hate You Better,hate well world harmony peace sanity survive survive peacefully moment crash 'cause hate well well watch direct hate receive natural trait send well wait 'cause be get time retaliate hate well try threaten deceive enlightening will naive tell thing well believe hate well receive ,hate
Black Veil Brides,All Your Hate,deadly grip lie sing blood red sky whisper softly  thing change learn hate lose mistake play hymn brand new day burn learn martyr watch moral bend story grow hungry reclaim note lend win saint glory die slowly burn,hate
Amanda Palmer & The Grand Theft Orchestra,The Killing Type, terribly vague picture year battle think bore walk knife like hide sight useless jump killing type  killing type  killing type get picture mum war young get etching right think funny look left son kill officially ask kill save life die peaceful piece shit bait shame fill coward thank kill feel mean kill real wrong song song song say say hear song somebody know say somebody know know know know explain good feel describe step die bird mercy kill sleep week keep feel break bone hear star night condition right stand cliff close eye wish step change somebody life kill face inch stare space wanna stick fist mouth twist arctic heart yes kill feel,hate
Dope,Die MF Die,die need forgiveness need hate need acceptance  need resistance need prayer need religion run away away tell lame die die motherfucker die need present need pray need decision need approval need hope need lecture sorry shit man sorry say sorry bang dead ,hate
Dolly Parton,I Will Forever Hate Roses,love rose come card read number love go way suppose forever hate rose send rose think nice open card read goodbye move chapter close rise remind go trust rise danger pose forever hate rose fragrance rose time beauty linger mind love daisy tulip posy forever hate rose rise trust rise pain impose move chapter close yes forever hate,hate
Austin John,Hate That I’m Loving It,chick bad dude going to hurt hurt check girl going to ruin life  'cause break end hell success excess access sex get bind wanna break free stay stuck freak feel lose get ooooh go hate love girl hot devil heart want melt away girl get real hard walk away stick spell  want want want want say love know pretend girl lose defend swear time time know liar mind probably kill fine aftermath monster try resist cave    hate love,hate
Kreator,Hate Inside Your Head,burn torture scream blind hatred situation hand adrenaline boil rioting racist hellhound anger turmoil prejudice rise hectic sudden panic careless tragedy cold capitulation old hate begin intellectual master mind autocrat lead blind cleanse deprivation extreme racial seperation hate inside head riot,hate
Underoath,​ihateit,think fall habit tear apart get sorry sleep tonight good good die tonight thing get high hate hate woah tangle image hate stare truth seek truth serve soul weak hate hate woah woah woah woah woah  user user 'cause end  wear beggar crown turn time change fucking thing erase deserve life change thing get high hate hate hate hate,hate
Porcupine Tree,Hatesong,think write hope hear want sue lonely life bed quiet life leak head rite line dead dead dead yes hear voice cut   cut ,hate
Kreator,Love Us or Hate Us,right fuck try steal imagination thing believe betray power suck dry throw away create destroy music today devoid feeling compromise betray deal sell soul price sound feel energy aggression money hungry brain heart fortune fame glory obsession salesman deaf music blind art honesty sterility cautious sound creativity  age take word truth flame  love hate eye  plastic noise music mechanized computerized switch brain sound dehumanize try dream away like matter want sick,hate
Slipknot,People = Shit, come motherfucker come idiot right fucked beg afraid care matter calamity right fuck outta face understand feel like wanna sift decay feel like wound like get fucking gun head live dead time motherfucker everybody hate fuck blood face hand know afraid cry business life feel eat spin spit face wanna leave trace 'cause wanna die place people equal shit people equal shit going to people equal shit 'cause afraid people equal shit people equal shit stop contagion sit want tell failure mean ya overdo tell blow stop bitching fight way like fuck come motherfucker everybody die people equal shit get,hate
The Clash,Hateful,get friend man man man man keep lonely  give need need get need badly want give want give free hateful pay grateful year lose friend friend friend dunno notice got to friend got to main man hey want give kill nerve nerve swerve drive steady  lose memory mind clearly want give want want give free want want,hate
Roy Harper,I Hate The White Man,land look time  wind blow sweetly easy sea flow barefoot dream life laugh cry fill slot machine confusion plastic universe object amusement fiction curse crazy whiteman teargas happiness lie dead long bury fantastic mess hate whiteman plastic excuse man turn loose rein coloured thunder stallion dawn ride morning beach bear emperor meaning burn fort sit warm toe fire useless thought child tempt riddle trance fling flame solstice cast laugh dance desert bone lie bleach paradise like think own hate whiteman green excuse hate whiteman far reach drift yellow sand live carpet wilderness forever join hand hell attainment surge crest fire throw last pyre countless canticle charcoal fleece sing song timeless masterpiece stand middle guess,hate
Queens of the Stone Age,Broken Box,know alright get wine come cork wish love hurray yay know easy head brand new guess tell new boy come want give find slave  ooh love like guess thing fucking tear sky pool pain baby tonight going to dance rain damn rule tell new boy come broken pussy save baby,hate
Waylon Jennings,Woman I Hate It,woman hate hate wreck alibi catch tell lie knight silk pyjama run home mama know woman hate hate latin boy treat like wear toy bring joy hate way run round circle know way believe believe guess know smile breath meet try woman hate hate know way turn mistake be mistaken time think learn knight shine armour be treat like poor darn farmer baby try woman hate hate,hate
Future,Hate in Your Soul,try tell nigga think outside box know sayin young metro trust gon shoot get rack fit wallet get style fuck stylist get hate soul get hate inside soul sell soul money yes couple year ago blow starter good pull rari hood dank be want war be fly bitch clique notorious bet come close sit whip like get bankroll like servin fish scale girl private wanna hide tell mamma need run takin personal nigga like want fuck comma strap know come conquer hustle know nigga monster know nigga piranha know hop time  cut 'cause hideaway grandma house post chopper ready let 'em outta believer hit block hit block glorify life nigga take life nigga niggas thinkin layin pavement nigga bleedin backside boutta long vacation pour hennessey pour hennessey know favorite drink nigga know favorite drink sell soul,hate
I Was A Cub Scout,I Hate Nightclubs,'cause think clearly think know know know feel think want loud struggle listen get leave right think problem think need solve think care situation  problem un solve want want loud get leave right,hate
